match_id,team,player_name
1,Australia,AJ Finch
1,Australia,M Klinger
1,Australia,TM Head
1,Australia,MC Henriques
1,Australia,AJ Turner
1,Australia,JP Faulkner
1,Australia,TD Paine
1,Australia,PJ Cummins
1,Australia,A Zampa
1,Australia,B Stanlake
1,Australia,AJ Tye
1,Sri Lanka,N Dickwella
1,Sri Lanka,WU Tharanga
1,Sri Lanka,EMDY Munaweera
1,Sri Lanka,DAS Gunaratne
1,Sri Lanka,TAM Siriwardana
1,Sri Lanka,CK Kapugedera
1,Sri Lanka,S Prasanna
1,Sri Lanka,JRMVB Sanjaya
1,Sri Lanka,SL Malinga
1,Sri Lanka,KMDN Kulasekara
1,Sri Lanka,PADLR Sandakan
2,Australia,M Klinger
2,Australia,AJ Finch
2,Australia,BR Dunk
2,Australia,MC Henriques
2,Australia,TM Head
2,Australia,AJ Turner
2,Australia,JP Faulkner
2,Australia,TD Paine
2,Australia,PJ Cummins
2,Australia,AJ Tye
2,Australia,JA Richardson
2,Sri Lanka,N Dickwella
2,Sri Lanka,WU Tharanga
2,Sri Lanka,EMDY Munaweera
2,Sri Lanka,BKG Mendis
2,Sri Lanka,DAS Gunaratne
2,Sri Lanka,TAM Siriwardana
2,Sri Lanka,CK Kapugedera
2,Sri Lanka,S Prasanna
2,Sri Lanka,KMDN Kulasekara
2,Sri Lanka,SL Malinga
2,Sri Lanka,JRMVB Sanjaya
3,Australia,AJ Finch
3,Australia,M Klinger
3,Australia,BR Dunk
3,Australia,TM Head
3,Australia,MC Henriques
3,Australia,AJ Turner
3,Australia,JP Faulkner
3,Australia,TD Paine
3,Australia,PJ Cummins
3,Australia,JA Richardson
3,Australia,A Zampa
3,Sri Lanka,EMDY Munaweera
3,Sri Lanka,WU Tharanga
3,Sri Lanka,BKG Mendis
3,Sri Lanka,DAS Gunaratne
3,Sri Lanka,TAM Siriwardana
3,Sri Lanka,CK Kapugedera
3,Sri Lanka,MD Shanaka
3,Sri Lanka,S Prasanna
3,Sri Lanka,KMDN Kulasekara
3,Sri Lanka,SL Malinga
3,Sri Lanka,JRMVB Sanjaya
1,Hong Kong,Nizakat Khan
1,Hong Kong,Aizaz Khan
1,Hong Kong,Babar Hayat
1,Hong Kong,Anshuman Rath
1,Hong Kong,Ehsan Khan
1,Hong Kong,Tanwir Afzal
1,Hong Kong,Shahid Wasif
1,Hong Kong,Tanveer Ahmed
1,Hong Kong,Ehsan Nawaz
1,Hong Kong,Nadeem Ahmed
1,Hong Kong,C Carter
1,Ireland,WTS Porterfield
1,Ireland,DA Rankin
1,Ireland,SP Terry
1,Ireland,JNK Shannon
1,Ireland,KJ O'Brien
1,Ireland,GJ Thompson
1,Ireland,AR McBrine
1,Ireland,L Tucker
1,Ireland,J Mulder
1,Ireland,J Little
1,Ireland,CA Young
1,India,KL Rahul
1,India,Mandeep Singh
1,India,AT Rayudu
1,India,MK Pandey
1,India,KM Jadhav
1,India,MS Dhoni
1,India,AR Patel
1,India,R Dhawan
1,India,JJ Bumrah
1,India,JD Unadkat
1,India,YS Chahal
1,Zimbabwe,CJ Chibhabha
1,Zimbabwe,H Masakadza
1,Zimbabwe,R Mutumbami
1,Zimbabwe,Sikandar Raza
1,Zimbabwe,MN Waller
1,Zimbabwe,CT Mutombodzi
1,Zimbabwe,E Chigumbura
1,Zimbabwe,AG Cremer
1,Zimbabwe,N Madziva
1,Zimbabwe,T Muzarabani
1,Zimbabwe,DT Tiripano
2,India,KL Rahul
2,India,Mandeep Singh
2,India,AT Rayudu
2,India,MK Pandey
2,India,KM Jadhav
2,India,MS Dhoni
2,India,AR Patel
2,India,DS Kulkarni
2,India,JJ Bumrah
2,India,BB Sran
2,India,YS Chahal
2,Zimbabwe,CJ Chibhabha
2,Zimbabwe,H Masakadza
2,Zimbabwe,PJ Moor
2,Zimbabwe,Sikandar Raza
2,Zimbabwe,CT Mutombodzi
2,Zimbabwe,MN Waller
2,Zimbabwe,E Chigumbura
2,Zimbabwe,AG Cremer
2,Zimbabwe,N Madziva
2,Zimbabwe,DT Tiripano
2,Zimbabwe,T Muzarabani
3,India,KL Rahul
3,India,Mandeep Singh
3,India,AT Rayudu
3,India,MK Pandey
3,India,KM Jadhav
3,India,MS Dhoni
3,India,AR Patel
3,India,DS Kulkarni
3,India,JJ Bumrah
3,India,BB Sran
3,India,YS Chahal
3,Zimbabwe,CJ Chibhabha
3,Zimbabwe,H Masakadza
3,Zimbabwe,V Sibanda
3,Zimbabwe,PJ Moor
3,Zimbabwe,MN Waller
3,Zimbabwe,E Chigumbura
3,Zimbabwe,T Maruma
3,Zimbabwe,AG Cremer
3,Zimbabwe,N Madziva
3,Zimbabwe,DT Tiripano
3,Zimbabwe,TL Chatara
1,Bangladesh,Tamim Iqbal
1,Bangladesh,Imrul Kayes
1,Bangladesh,Sabbir Rahman
1,Bangladesh,Shakib Al Hasan
1,Bangladesh,Soumya Sarkar
1,Bangladesh,Mahmudullah
1,Bangladesh,Mosaddek Hossain
1,Bangladesh,Mashrafe Mortaza
1,Bangladesh,Nurul Hasan
1,Bangladesh,Rubel Hossain
1,Bangladesh,Mustafizur Rahman
1,New Zealand,NT Broom
1,New Zealand,KS Williamson
1,New Zealand,C Munro
1,New Zealand,CJ Anderson
1,New Zealand,TC Bruce
1,New Zealand,C de Grandhomme
1,New Zealand,L Ronchi
1,New Zealand,MJ Santner
1,New Zealand,BM Wheeler
1,New Zealand,MJ Henry
1,New Zealand,LH Ferguson
2,Bangladesh,Tamim Iqbal
2,Bangladesh,Imrul Kayes
