match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
6,ODI,2007,Kennington Oval,London,2007-09-05,male,50,6,SR Tendulkar,England,bat,India,2,2,unknown,unknown,England,India
7,ODI,2007,Lord's,London,2007-09-08,male,50,6,KP Pietersen,India,bat,England,7,7,unknown,unknown,England,India
2,ODI,2006/07,Sedgars Park,Potchefstroom,2006-11-27,male,50,6,S Dhaniram,Canada,field,Canada,5,5,unknown,unknown,Bermuda,Canada
6,ODI,2006/07,Willowmoore Park,Benoni,2006-12-02,male,50,6,S Mukuddem,Netherlands,bat,Bermuda,6,6,unknown,unknown,Bermuda,Netherlands
4,ODI,2006/07,Willowmoore Park,Benoni,2006-11-30,male,50,6,GR Codrington,Canada,field,Canada,3,3,unknown,unknown,Bermuda,Canada
5,ODI,2006/07,Willowmoore Park,Benoni,2006-12-01,male,50,6,WF Stelling,Netherlands,field,Netherlands,1,1,unknown,unknown,Canada,Netherlands
2,ODI,2006/07,Buffalo Park,East London,2006-09-18,male,50,6,AJ Hall,Zimbabwe,bat,South Africa,6,6,unknown,unknown,South Africa,Zimbabwe
2,ODI,2006/07,Shaheed Chandu Stadium,Bogra,2006-12-03,male,50,6,SC Williams,Bangladesh,field,Bangladesh,6,6,unknown,unknown,Bangladesh,Zimbabwe
3,ODI,2006/07,Shaheed Chandu Stadium,Bogra,2006-12-05,male,50,6,Abdur Razzak,Zimbabwe,field,Bangladesh,26,26,unknown,unknown,Bangladesh,Zimbabwe
4,ODI,2006/07,Shere Bangla National Stadium,Mirpur,2006-12-08,male,50,6,Aftab Ahmed,Bangladesh,field,Bangladesh,8,8,unknown,unknown,Bangladesh,Zimbabwe
5,ODI,2006/07,Shere Bangla National Stadium,Mirpur,2006-12-09,male,50,6,GB Brent,Bangladesh,field,Bangladesh,3,3,unknown,unknown,Bangladesh,Zimbabwe
7,ODI,2006/07,Gymkhana Club Ground,Nairobi,2007-02-02,male,50,6,JM Davison,Bermuda,field,Canada,56,56,unknown,unknown,Bermuda,Canada
10,ODI,2006/07,Ruaraka Sports Club Ground,Nairobi,2007-02-04,male,50,6,RN ten Doeschate,Netherlands,field,Netherlands,8,8,unknown,unknown,Bermuda,Netherlands
12,ODI,2006/07,Gymkhana Club Ground,Nairobi,2007-02-04,male,50,6,RM Haq,Scotland,bat,Scotland,77,77,unknown,unknown,Kenya,Scotland
14,ODI,2006/07,Jaffery Sports Club Ground,Nairobi,2007-02-05,male,50,6,TM Odoyo,Kenya,bat,Kenya,158,158,unknown,unknown,Kenya,Canada
3,ODI,2006/07,"MA Chidambaram Stadium, Chepauk",Chennai,2007-01-27,male,50,6,MN Samuels,West Indies,field,West Indies,3,3,unknown,unknown,India,West Indies
4,ODI,2006/07,Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,2007-01-31,male,50,6,SR Tendulkar,West Indies,field,India,160,160,unknown,unknown,India,West Indies
1,ODI,2006/07,Eden Gardens,Kolkata,2007-02-08,male,50,6,,India,field,unknown,unknown,0,unknown,unknown,India,Sri Lanka
2,ODI,2006/07,Madhavrao Scindia Cricket Ground,Rajkot,2007-02-11,male,50,6,KC Sangakkara,India,field,Sri Lanka,5,5,unknown,unknown,India,Sri Lanka
4,ODI,2006/07,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,2007-02-17,male,50,6,LPC Silva,India,field,India,7,7,unknown,unknown,India,Sri Lanka
3,ODI,2006/07,"Nehru Stadium, Fatorda",Margao,2007-02-14,male,50,6,Z Khan,Sri Lanka,bat,India,5,5,unknown,unknown,India,Sri Lanka
unknown,ODI,2007,Titwood,Glasgow,2007-08-16,male,50,6,G Gambhir,India,field,India,7,7,unknown,unknown,Scotland,India
1,ODI,2007,Shere Bangla National Stadium,Mirpur,2007-05-10,male,50,6,MS Dhoni,Bangladesh,bat,India,5,5,unknown,unknown,Bangladesh,India
2,ODI,2007,Shere Bangla National Stadium,Mirpur,2007-05-12,male,50,6,G Gambhir,India,bat,India,46,46,unknown,unknown,Bangladesh,India
1,ODI,2007,M Chinnaswamy Stadium,Bangalore,2007-06-06,male,50,6,SM Pollock,Asia XI,bat,Asia XI,34,34,unknown,unknown,Africa XI,Asia XI
2,ODI,2007,"MA Chidambaram Stadium, Chepauk",Chennai,2007-06-09,male,50,6,CRD Fernando,Asia XI,bat,Asia XI,31,31,unknown,unknown,Africa XI,Asia XI
3,ODI,2007,"MA Chidambaram Stadium, Chepauk",Chennai,2007-06-10,male,50,6,MS Dhoni,Asia XI,bat,Asia XI,13,13,unknown,unknown,Africa XI,Asia XI
1,ODI,2007/08,Rangiri Dambulla International Stadium,unknown,2007-10-01,male,50,6,MF Maharoof,Sri Lanka,bat,Sri Lanka,119,119,unknown,unknown,Sri Lanka,England
2,ODI,2007/08,Rangiri Dambulla International Stadium,unknown,2007-10-04,male,50,6,OA Shah,England,bat,England,65,65,unknown,unknown,Sri Lanka,England
4,ODI,2007/08,R Premadasa Stadium,Colombo,2007-10-10,male,50,6,AN Cook,Sri Lanka,bat,England,5,5,unknown,unknown,Sri Lanka,England
5,ODI,2007/08,R Premadasa Stadium,Colombo,2007-10-13,male,50,6,CRD Fernando,Sri Lanka,bat,Sri Lanka,107,107,unknown,unknown,Sri Lanka,England
1,ODI,2007/08,Adelaide Oval,unknown,2007-12-14,male,50,6,RT Ponting,New Zealand,bat,Australia,7,7,unknown,unknown,Australia,New Zealand
2,ODI,2007/08,Sydney Cricket Ground,unknown,2007-12-16,male,50,6,,New Zealand,bat,unknown,unknown,0,unknown,unknown,Australia,New Zealand
3,ODI,2007/08,Bellerive Oval,Hobart,2007-12-20,male,50,6,RT Ponting,New Zealand,field,Australia,114,114,unknown,unknown,Australia,New Zealand
1,ODI,2007/08,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2008-02-03,male,50,6,,India,bat,unknown,unknown,0,unknown,unknown,Australia,India
2,ODI,2007/08,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2008-02-05,male,50,6,,India,bat,unknown,unknown,0,unknown,unknown,India,Sri Lanka
3,ODI,2007/08,Sydney Cricket Ground,unknown,2008-02-08,male,50,6,NW Bracken,Australia,bat,Australia,128,128,unknown,unknown,Australia,Sri Lanka
4,ODI,2007/08,Melbourne Cricket Ground,unknown,2008-02-10,male,50,6,I Sharma,Australia,bat,India,5,5,unknown,unknown,Australia,India
6,ODI,2007/08,Western Australia Cricket Association Ground,Perth,2008-02-15,male,50,6,AC Gilchrist,Australia,bat,Australia,63,63,unknown,unknown,Australia,Sri Lanka
7,ODI,2007/08,Adelaide Oval,unknown,2008-02-17,male,50,6,MJ Clarke,Australia,bat,Australia,50,50,unknown,unknown,Australia,India
8,ODI,2007/08,Adelaide Oval,unknown,2008-02-19,male,50,6,KC Sangakkara,Sri Lanka,bat,India,2,2,unknown,unknown,India,Sri Lanka
9,ODI,2007/08,Melbourne Cricket Ground,unknown,2008-02-22,male,50,6,MEK Hussey,Sri Lanka,field,Australia,24,24,unknown,unknown,Australia,Sri Lanka
10,ODI,2007/08,Sydney Cricket Ground,unknown,2008-02-24,male,50,6,RT Ponting,Australia,bat,Australia,18,18,unknown,unknown,Australia,India
11,ODI,2007/08,Bellerive Oval,Hobart,2008-02-26,male,50,6,P Kumar,India,field,India,7,7,unknown,unknown,India,Sri Lanka
12,ODI,2007/08,Melbourne Cricket Ground,unknown,2008-02-29,male,50,6,AC Gilchrist,Sri Lanka,bat,Sri Lanka,13,13,unknown,unknown,Australia,Sri Lanka
1,ODI,2007/08,Sydney Cricket Ground,unknown,2008-03-02,male,50,6,SR Tendulkar,Australia,bat,India,6,6,unknown,unknown,Australia,India
2,ODI,2007/08,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2008-03-04,male,50,6,P Kumar,India,bat,India,9,9,unknown,unknown,Australia,India
unknown,ODI,2007,"Civil Service Cricket Club, Stormont",Belfast,2007-06-23,male,50,6,G Gambhir,India,field,India,9,9,unknown,unknown,Ireland,India
unknown,ODI,2007,"Civil Service Cricket Club, Stormont",Belfast,2007-06-24,male,50,6,AR Cusack,Ireland,field,South Africa,42,42,unknown,unknown,Ireland,South Africa
1,ODI,2007,"Civil Service Cricket Club, Stormont",Belfast,2007-06-26,male,50,6,JH Kallis,South Africa,field,South Africa,4,4,unknown,unknown,India,South Africa
2,ODI,2007,"Civil Service Cricket Club, Stormont",Belfast,2007-06-29,male,50,6,SR Tendulkar,India,field,India,6,6,unknown,unknown,India,South Africa
3,ODI,2007,"Civil Service Cricket Club, Stormont",Belfast,2007-07-01,male,50,6,Yuvraj Singh,India,field,India,6,6,unknown,unknown,India,South Africa
1,ODI,2007,P Saravanamuttu Stadium,Colombo,2007-07-20,male,50,6,CRD Fernando,Bangladesh,field,Sri Lanka,70,70,unknown,unknown,Sri Lanka,Bangladesh
2,ODI,2007,R Premadasa Stadium,Colombo,2007-07-23,male,50,6,ST Jayasuriya,Sri Lanka,field,Sri Lanka,5,5,unknown,unknown,Sri Lanka,Bangladesh
3,ODI,2007,R Premadasa Stadium,Colombo,2007-07-25,male,50,6,J Mubarak,Bangladesh,field,Sri Lanka,39,39,unknown,unknown,Sri Lanka,Bangladesh
4,ODI,2007,"Civil Service Cricket Club, Stormont",Belfast,2007-07-13,male,50,6,,Scotland,bat,unknown,unknown,0,unknown,unknown,Netherlands,Scotland
5,ODI,2007,Clontarf Cricket Club Ground,Dublin,2007-07-14,male,50,6,,Ireland,bat,unknown,unknown,0,unknown,unknown,Ireland,West Indies
1,ODI,2007/08,Gymkhana Club Ground,Nairobi,2007-10-18,male,50,6,,Kenya,field,Kenya,4,4,unknown,unknown,Kenya,Canada
2,ODI,2007/08,Gymkhana Club Ground,Nairobi,2007-10-20,male,50,6,,Canada,bat,Kenya,4,4,unknown,unknown,Kenya,Canada
1,ODI,2008,Riverside Ground,Chester-le-Street,2008-06-15,male,50,6,KP Pietersen,New Zealand,field,England,114,114,unknown,unknown,England,New Zealand
2,ODI,2008,Edgbaston,Birmingham,2008-06-18,male,50,6,,New Zealand,field,unknown,unknown,0,unknown,unknown,England,New Zealand
3,ODI,2008,County Ground,Bristol,2008-06-21,male,50,6,KD Mills,England,field,New Zealand,22,22,unknown,unknown,England,New Zealand
4,ODI,2008,Kennington Oval,London,2008-06-25,male,50,6,SB Styris,New Zealand,field,New Zealand,1,1,unknown,unknown,England,New Zealand
5,ODI,2008,Lord's,London,2008-06-28,male,50,6,SB Styris,England,field,New Zealand,51,51,unknown,unknown,England,New Zealand
1,ODI,2008,Headingley,Leeds,2008-08-22,male,50,6,KP Pietersen,England,bat,England,20,20,unknown,unknown,England,South Africa
2,ODI,2008,Trent Bridge,Nottingham,2008-08-26,male,50,6,SCJ Broad,South Africa,bat,England,10,10,unknown,unknown,England,South Africa
3,ODI,2008,Kennington Oval,London,2008-08-29,male,50,6,SR Patel,South Africa,field,England,126,126,unknown,unknown,England,South Africa
4,ODI,2008,Lord's,London,2008-08-31,male,50,6,A Flintoff,England,field,England,7,7,unknown,unknown,England,South Africa
5,ODI,2008,Sophia Gardens,Cardiff,2008-09-03,male,50,6,,England,field,unknown,unknown,0,unknown,unknown,England,South Africa
1,ODI,2007/08,M Chinnaswamy Stadium,Bangalore,2007-09-29,male,50,6,,Australia,bat,unknown,unknown,0,unknown,unknown,India,Australia
2,ODI,2007/08,Nehru Stadium,Kochi,2007-10-02,male,50,6,BJ Haddin,India,field,Australia,84,84,unknown,unknown,India,Australia
3,ODI,2007/08,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2007-10-05,male,50,6,A Symonds,Australia,bat,Australia,47,47,unknown,unknown,India,Australia
4,ODI,2007/08,Sector 16 Stadium,Chandigarh,2007-10-08,male,50,6,MS Dhoni,India,bat,India,8,8,unknown,unknown,India,Australia
5,ODI,2007/08,Reliance Stadium,Vadodara,2007-10-11,male,50,6,MG Johnson,India,bat,Australia,9,9,unknown,unknown,India,Australia
6,ODI,2007/08,Vidarbha Cricket Association Ground,Nagpur,2007-10-14,male,50,6,A Symonds,Australia,bat,Australia,18,18,unknown,unknown,India,Australia
7,ODI,2007/08,Wankhede Stadium,Mumbai,2007-10-17,male,50,6,M Kartik,Australia,bat,India,2,2,unknown,unknown,India,Australia
1,ODI,2007/08,Nehru Stadium,Guwahati,2007-11-05,male,50,6,MS Dhoni,Pakistan,bat,India,5,5,unknown,unknown,India,Pakistan
2,ODI,2007/08,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2007-11-08,male,50,6,Younis Khan,India,bat,Pakistan,4,4,unknown,unknown,India,Pakistan
3,ODI,2007/08,Green Park,Kanpur,2007-11-11,male,50,6,Yuvraj Singh,Pakistan,field,India,46,46,unknown,unknown,India,Pakistan
4,ODI,2007/08,Captain Roop Singh Stadium,Gwalior,2007-11-15,male,50,6,SR Tendulkar,Pakistan,bat,India,6,6,unknown,unknown,India,Pakistan
5,ODI,2007/08,Sawai Mansingh Stadium,Jaipur,2007-11-18,male,50,6,Shoaib Malik,India,field,Pakistan,31,31,unknown,unknown,India,Pakistan
1,ODI,2007/08,Kingsmead,Durban,2007-11-25,male,50,6,AB de Villiers,South Africa,field,South Africa,2,2,unknown,unknown,South Africa,New Zealand
2,ODI,2007/08,St George's Park,Port Elizabeth,2007-11-30,male,50,6,"JM How, BB McCullum",South Africa,bat,New Zealand,7,7,unknown,unknown,South Africa,New Zealand
3,ODI,2007/08,Newlands,Cape Town,2007-12-02,male,50,6,HH Gibbs,New Zealand,bat,South Africa,5,5,unknown,unknown,South Africa,New Zealand
1,ODI,2007/08,SuperSport Park,Centurion,2008-01-20,male,50,6,JP Duminy,South Africa,field,South Africa,6,6,unknown,unknown,South Africa,West Indies
2,ODI,2007/08,Newlands,Cape Town,2008-01-25,male,50,6,SM Pollock,South Africa,bat,South Africa,86,86,unknown,unknown,South Africa,West Indies
3,ODI,2007/08,St George's Park,Port Elizabeth,2008-01-27,male,50,6,JH Kallis,West Indies,bat,South Africa,7,7,unknown,unknown,South Africa,West Indies
4,ODI,2007/08,Kingsmead,Durban,2008-02-01,male,50,6,AB de Villiers,West Indies,bat,South Africa,5,5,unknown,unknown,South Africa,West Indies
5,ODI,2007/08,New Wanderers Stadium,Johannesburg,2008-02-03,male,50,6,HH Gibbs,South Africa,field,South Africa,8,8,unknown,unknown,South Africa,West Indies
1,ODI,2007/08,Gaddafi Stadium,Lahore,2007-10-18,male,50,6,AB de Villiers,South Africa,bat,South Africa,45,45,unknown,unknown,Pakistan,South Africa
2,ODI,2007/08,Gaddafi Stadium,Lahore,2007-10-20,male,50,6,Mohammad Yousuf,Pakistan,bat,Pakistan,25,25,unknown,unknown,Pakistan,South Africa
3,ODI,2007/08,Iqbal Stadium,Faisalabad,2007-10-23,male,50,6,Shahid Afridi,South Africa,bat,Pakistan,6,6,unknown,unknown,Pakistan,South Africa
