match_id,match_type,season,venue,city,date,gender,overs,balls_per_over,player_of_match,toss_winner,toss_decision,match_winner,result_type,result_margin,umpire_1,umpire_2,team_1,team_2
1,T20,2021/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-11-17,male,20,6,S Thakor,Nigeria,bat,Tanzania,6,6,unknown,unknown,Nigeria,Tanzania
2,T20,2021/22,Integrated Polytechnic Regional Centre,Kigali City,2021-11-17,male,20,6,DM Nakrani,Kenya,bat,Kenya,1,1,unknown,unknown,Kenya,Uganda
3,T20,2021/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-11-17,male,20,6,DM Nakrani,Uganda,bat,Uganda,12,12,unknown,unknown,Uganda,Nigeria
4,T20,2021/22,Integrated Polytechnic Regional Centre,Kigali City,2021-11-17,male,20,6,AA Jasani,Tanzania,bat,Tanzania,49,49,unknown,unknown,Tanzania,Kenya
5,T20,2021/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-11-18,male,20,6,RB Patel,Tanzania,bat,Uganda,8,8,unknown,unknown,Tanzania,Uganda
6,T20,2021/22,Integrated Polytechnic Regional Centre,Kigali City,2021-11-18,male,20,6,AA Obanda,Nigeria,bat,Kenya,8,8,unknown,unknown,Nigeria,Kenya
7,T20,2021/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-11-18,male,20,6,RN Patel,Tanzania,bat,Kenya,7,7,unknown,unknown,Tanzania,Kenya
8,T20,2021/22,Integrated Polytechnic Regional Centre,Kigali City,2021-11-18,male,20,6,Riazat Ali Shah,Uganda,field,Uganda,8,8,unknown,unknown,Nigeria,Uganda
9,T20,2021/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-11-20,male,20,6,F Akankwasa,Uganda,field,Uganda,6,6,unknown,unknown,Tanzania,Uganda
10,T20,2021/22,Integrated Polytechnic Regional Centre,Kigali City,2021-11-20,male,20,6,Vraj Patel,Nigeria,field,Kenya,60,60,unknown,unknown,Kenya,Nigeria
11,T20,2021/22,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-11-20,male,20,6,Riazat Ali Shah,Kenya,bat,Uganda,6,6,unknown,unknown,Kenya,Uganda
12,T20,2021/22,Integrated Polytechnic Regional Centre,Kigali City,2021-11-20,male,20,6,JC Darji,Tanzania,bat,Tanzania,69,69,unknown,unknown,Tanzania,Nigeria
1,T20,2021/22,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,2021-12-22,male,20,6,G Singh,United States of America,bat,United States of America,26,26,unknown,unknown,United States of America,Ireland
2,T20,2021/22,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,2021-12-23,male,20,6,L Tucker,United States of America,field,Ireland,9,9,unknown,unknown,Ireland,United States of America
1,T20,2022/23,"GMHBA Stadium, South Geelong, Victoria",Geelong,2022-10-16,male,20,6,JN Frylinck,Sri Lanka,field,Namibia,55,55,unknown,unknown,Namibia,Sri Lanka
