match_id,team,player_name
1,Australia,DA Warner
1,Australia,TM Head
1,Australia,SPD Smith
1,Australia,CA Lynn
1,Australia,MR Marsh
1,Australia,GJ Maxwell
1,Australia,MS Wade
1,Australia,JP Faulkner
1,Australia,PJ Cummins
1,Australia,MA Starc
1,Australia,B Stanlake
1,Pakistan,Azhar Ali
1,Pakistan,Sharjeel Khan
1,Pakistan,Mohammad Hafeez
1,Pakistan,Babar Azam
1,Pakistan,Umar Akmal
1,Pakistan,Mohammad Rizwan
1,Pakistan,Imad Wasim
1,Pakistan,Mohammad Nawaz (3)
1,Pakistan,Mohammad Amir
1,Pakistan,Wahab Riaz
1,Pakistan,Hasan Ali
2,Australia,UT Khawaja
2,Australia,DA Warner
2,Australia,SPD Smith
2,Australia,MR Marsh
2,Australia,TM Head
2,Australia,GJ Maxwell
2,Australia,MS Wade
2,Australia,JP Faulkner
2,Australia,MA Starc
2,Australia,PJ Cummins
2,Australia,JR Hazlewood
2,Pakistan,Mohammad Hafeez
2,Pakistan,Sharjeel Khan
2,Pakistan,Babar Azam
2,Pakistan,Asad Shafiq
2,Pakistan,Shoaib Malik
2,Pakistan,Umar Akmal
2,Pakistan,Mohammad Rizwan
2,Pakistan,Imad Wasim
2,Pakistan,Mohammad Amir
2,Pakistan,Hasan Ali
2,Pakistan,Junaid Khan
3,Australia,DA Warner
3,Australia,UT Khawaja
3,Australia,SPD Smith
3,Australia,PSP Handscomb
3,Australia,TM Head
3,Australia,GJ Maxwell
3,Australia,MS Wade
3,Australia,JP Faulkner
3,Australia,PJ Cummins
3,Australia,JR Hazlewood
3,Australia,B Stanlake
3,Pakistan,Mohammad Hafeez
3,Pakistan,Sharjeel Khan
3,Pakistan,Babar Azam
3,Pakistan,Asad Shafiq
3,Pakistan,Shoaib Malik
3,Pakistan,Umar Akmal
3,Pakistan,Imad Wasim
3,Pakistan,Mohammad Rizwan
3,Pakistan,Mohammad Amir
3,Pakistan,Hasan Ali
3,Pakistan,Junaid Khan
4,Australia,UT Khawaja
4,Australia,DA Warner
4,Australia,SPD Smith
4,Australia,TM Head
4,Australia,GJ Maxwell
4,Australia,MS Wade
4,Australia,MA Starc
4,Australia,PSP Handscomb
4,Australia,PJ Cummins
4,Australia,A Zampa
4,Australia,JR Hazlewood
4,Pakistan,Azhar Ali
4,Pakistan,Sharjeel Khan
4,Pakistan,Babar Azam
4,Pakistan,Mohammad Hafeez
4,Pakistan,Shoaib Malik
4,Pakistan,Umar Akmal
4,Pakistan,Mohammad Rizwan
4,Pakistan,Imad Wasim
4,Pakistan,Mohammad Amir
4,Pakistan,Hasan Ali
4,Pakistan,Junaid Khan
5,Australia,DA Warner
5,Australia,TM Head
5,Australia,SPD Smith
5,Australia,GJ Maxwell
5,Australia,MS Wade
5,Australia,PSP Handscomb
5,Australia,JP Faulkner
5,Australia,MA Starc
5,Australia,PJ Cummins
5,Australia,A Zampa
5,Australia,JR Hazlewood
5,Pakistan,Azhar Ali
5,Pakistan,Sharjeel Khan
5,Pakistan,Babar Azam
5,Pakistan,Mohammad Hafeez
5,Pakistan,Shoaib Malik
5,Pakistan,Umar Akmal
5,Pakistan,Mohammad Rizwan
5,Pakistan,Mohammad Amir
5,Pakistan,Wahab Riaz
5,Pakistan,Hasan Ali
5,Pakistan,Junaid Khan
1,Australia,DA Warner
1,Australia,AJ Finch
1,Australia,SPD Smith
1,Australia,GJ Bailey
1,Australia,MR Marsh
1,Australia,TM Head
1,Australia,MS Wade
1,Australia,PJ Cummins
1,Australia,MA Starc
1,Australia,A Zampa
1,Australia,JR Hazlewood
1,New Zealand,MJ Guptill
1,New Zealand,TWM Latham
1,New Zealand,KS Williamson
1,New Zealand,JDS Neesham
1,New Zealand,BJ Watling
1,New Zealand,C Munro
1,New Zealand,MJ Santner
1,New Zealand,C de Grandhomme
1,New Zealand,MJ Henry
1,New Zealand,LH Ferguson
1,New Zealand,TA Boult
2,Australia,DA Warner
2,Australia,AJ Finch
2,Australia,SPD Smith
2,Australia,TM Head
2,Australia,MR Marsh
2,Australia,MS Wade
2,Australia,GJ Bailey
2,Australia,PJ Cummins
2,Australia,MA Starc
2,Australia,JP Faulkner
2,Australia,JR Hazlewood
2,New Zealand,MJ Guptill
2,New Zealand,TWM Latham
2,New Zealand,KS Williamson
2,New Zealand,JDS Neesham
2,New Zealand,C Munro
2,New Zealand,C de Grandhomme
2,New Zealand,MJ Santner
2,New Zealand,BJ Watling
2,New Zealand,TG Southee
2,New Zealand,MJ Henry
2,New Zealand,TA Boult
3,Australia,DA Warner
3,Australia,AJ Finch
3,Australia,SPD Smith
3,Australia,GJ Bailey
3,Australia,MR Marsh
3,Australia,TM Head
3,Australia,MS Wade
3,Australia,JP Faulkner
3,Australia,MA Starc
3,Australia,PJ Cummins
3,Australia,JR Hazlewood
3,New Zealand,MJ Guptill
3,New Zealand,TWM Latham
3,New Zealand,KS Williamson
3,New Zealand,HM Nicholls
3,New Zealand,C Munro
3,New Zealand,BJ Watling
3,New Zealand,C de Grandhomme
3,New Zealand,MJ Santner
3,New Zealand,TG Southee
3,New Zealand,LH Ferguson
3,New Zealand,TA Boult
1,Hong Kong,Nizakat Khan
1,Hong Kong,Aizaz Khan
1,Hong Kong,Babar Hayat
1,Hong Kong,Anshuman Rath
1,Hong Kong,Ehsan Khan
1,Hong Kong,Tanwir Afzal
1,Hong Kong,Shahid Wasif
1,Hong Kong,C Carter
1,Hong Kong,Waqas Khan
1,Hong Kong,Nadeem Ahmed
1,Hong Kong,Tanveer Ahmed
